review_order,segment_id,original_uuid,start_time,end_time,segment_duration,source_duration_seconds,discarded_tail_seconds,review_audio_filename,manual_decision,notes
1,171396_fsdcough_seg_0,171396,0.0,10.0,10.0,14.25002267573696,0.0,001_171396_fsdcough_seg_0.wav,SI,
2,171396_fsdcough_seg_1,171396,10.0,14.25002267573696,4.250022675736959,14.25002267573696,0.0,002_171396_fsdcough_seg_1.wav,SI,
3,177835_fsdcough_seg_0,177835,0.0,10.0,10.0,13.676757369614512,0.0,003_177835_fsdcough_seg_0.wav,SI,
4,177835_fsdcough_seg_1,177835,10.0,13.676757369614512,3.6767573696145117,13.676757369614512,0.0,004_177835_fsdcough_seg_1.wav,SI,
5,180037_fsdcough_seg_0,180037,0.0,10.0,10.0,22.610113378684808,2.610113378684808,005_180037_fsdcough_seg_0.wav,NO,
6,180037_fsdcough_seg_1,180037,10.0,20.0,10.0,22.610113378684808,2.610113378684808,006_180037_fsdcough_seg_1.wav,SI,
7,180041_fsdcough_seg_0,180041,0.0,10.0,10.0,17.296689342403628,0.0,007_180041_fsdcough_seg_0.wav,SI,
8,180041_fsdcough_seg_1,180041,10.0,17.296689342403628,7.296689342403628,17.296689342403628,0.0,008_180041_fsdcough_seg_1.wav,SI,
9,180042_fsdcough_seg_0,180042,0.0,10.0,10.0,22.33868480725624,2.3386848072562394,009_180042_fsdcough_seg_0.wav,SI,
10,180042_fsdcough_seg_1,180042,10.0,20.0,10.0,22.33868480725624,2.3386848072562394,010_180042_fsdcough_seg_1.wav,NO,
11,180043_fsdcough_seg_0,180043,0.0,10.0,10.0,28.55065759637188,8.550657596371881,011_180043_fsdcough_seg_0.wav,NO,
12,180043_fsdcough_seg_1,180043,10.0,20.0,10.0,28.55065759637188,8.550657596371881,012_180043_fsdcough_seg_1.wav,SI,
13,196283_fsdcough_seg_0,196283,0.0,10.0,10.0,28.969705215419506,8.969705215419506,013_196283_fsdcough_seg_0.wav,SI,
14,196283_fsdcough_seg_1,196283,10.0,20.0,10.0,28.969705215419506,8.969705215419506,014_196283_fsdcough_seg_1.wav,SI,
15,210733_fsdcough_seg_0,210733,0.0,10.0,10.0,13.514489795918369,0.0,015_210733_fsdcough_seg_0.wav,SI,
16,210733_fsdcough_seg_1,210733,10.0,13.514489795918369,3.5144897959183687,13.514489795918369,0.0,016_210733_fsdcough_seg_1.wav,SI,
17,213856_fsdcough_seg_0,213856,0.0,10.0,10.0,11.0,0.0,017_213856_fsdcough_seg_0.wav,SI,
18,213856_fsdcough_seg_1,213856,10.0,11.0,1.0,11.0,0.0,018_213856_fsdcough_seg_1.wav,NO,
19,223522_fsdcough_seg_0,223522,0.0,10.0,10.0,12.957732426303854,0.0,019_223522_fsdcough_seg_0.wav,SI,
20,223522_fsdcough_seg_1,223522,10.0,12.957732426303854,2.9577324263038545,12.957732426303854,0.0,020_223522_fsdcough_seg_1.wav,NO,
