segment_id,original_uuid,split,fold,split_group,audio_path,source_duration_seconds,start_time,end_time,segment_duration,discarded_tail_seconds,segmentation_policy,requires_manual_review,review_order,review_audio_filename,automatic_decision,segment_review_decision,segment_review_notes,segment_review_source,stage1_inclusion,stage1_target
109638_fsdcough_seg_0,109638,train,1,FSD50K_UPLOADER::vinjatovix,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\109638.wav,4.3041496598639455,0.0,4.3041496598639455,4.3041496598639455,0.0,fsd50k_cough_full_clip_up_to_10s,False,,,SI,SI,automatic_positive_from_approved_clip_up_to_10s,automatic_original_clip_audit,True,1.0
109639_fsdcough_seg_0,109639,train,1,FSD50K_UPLOADER::vinjatovix,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\109639.wav,3.141995464852608,0.0,3.141995464852608,3.141995464852608,0.0,fsd50k_cough_full_clip_up_to_10s,False,,,SI,SI,automatic_positive_from_approved_clip_up_to_10s,automatic_original_clip_audit,True,1.0
109640_fsdcough_seg_0,109640,train,1,FSD50K_UPLOADER::vinjatovix,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\109640.wav,4.84342403628118,0.0,4.84342403628118,4.84342403628118,0.0,fsd50k_cough_full_clip_up_to_10s,False,,,SI,SI,automatic_positive_from_approved_clip_up_to_10s,automatic_original_clip_audit,True,1.0
132601_fsdcough_seg_0,132601,train,3,FSD50K_UPLOADER::carlossolano019,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\132601.wav,1.470272108843537,0.0,1.470272108843537,1.470272108843537,0.0,fsd50k_cough_full_clip_up_to_10s,False,,,SI,SI,automatic_positive_from_approved_clip_up_to_10s,automatic_original_clip_audit,True,1.0
142603_fsdcough_seg_0,142603,train,4,FSD50K_UPLOADER::loisgwenllian,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\142603.wav,2.352018140589569,0.0,2.352018140589569,2.352018140589569,0.0,fsd50k_cough_full_clip_up_to_10s,False,,,SI,SI,automatic_positive_from_approved_clip_up_to_10s,automatic_original_clip_audit,True,1.0
142604_fsdcough_seg_0,142604,train,4,FSD50K_UPLOADER::loisgwenllian,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\142604.wav,7.224013605442177,0.0,7.224013605442177,7.224013605442177,0.0,fsd50k_cough_full_clip_up_to_10s,False,,,SI,SI,automatic_positive_from_approved_clip_up_to_10s,automatic_original_clip_audit,True,1.0
144254_fsdcough_seg_0,144254,train,4,FSD50K_UPLOADER::d w,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\144254.wav,2.507755102040816,0.0,2.507755102040816,2.507755102040816,0.0,fsd50k_cough_full_clip_up_to_10s,False,,,SI,SI,automatic_positive_from_approved_clip_up_to_10s,automatic_original_clip_audit,True,1.0
145487_fsdcough_seg_0,145487,train,4,FSD50K_UPLOADER::bmoreno,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\145487.wav,0.709342403628118,0.0,0.709342403628118,0.709342403628118,0.0,fsd50k_cough_full_clip_up_to_10s,False,,,SI,SI,automatic_positive_from_approved_clip_up_to_10s,automatic_original_clip_audit,True,1.0
148212_fsdcough_seg_0,148212,train,4,FSD50K_UPLOADER::espaitecnologic,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\148212.wav,4.230657596371882,0.0,4.230657596371882,4.230657596371882,0.0,fsd50k_cough_full_clip_up_to_10s,False,,,SI,SI,automatic_positive_from_approved_clip_up_to_10s,automatic_original_clip_audit,True,1.0
148310_fsdcough_seg_0,148310,train,3,FSD50K_UPLOADER::elgeorgia,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\148310.wav,7.28,0.0,7.28,7.28,0.0,fsd50k_cough_full_clip_up_to_10s,False,,,SI,SI,automatic_positive_from_approved_clip_up_to_10s,automatic_original_clip_audit,True,1.0
149042_fsdcough_seg_0,149042,train,0,FSD50K_UPLOADER::zabuhailo,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\149042.wav,2.0216780045351475,0.0,2.0216780045351475,2.0216780045351475,0.0,fsd50k_cough_full_clip_up_to_10s,False,,,SI,SI,automatic_positive_from_approved_clip_up_to_10s,automatic_original_clip_audit,True,1.0
149043_fsdcough_seg_0,149043,train,0,FSD50K_UPLOADER::zabuhailo,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\149043.wav,2.841201814058957,0.0,2.841201814058957,2.841201814058957,0.0,fsd50k_cough_full_clip_up_to_10s,False,,,SI,SI,automatic_positive_from_approved_clip_up_to_10s,automatic_original_clip_audit,True,1.0
